title,label,color,labeled_places_22_02_pid,labeled_places_22_02_place_id
народного ополчения 10,22,#cd3cc8,15397878,15397878
"Стадион ""Петровский"" (малая арена)",44,#6f84d0,8680791,8680791
"СкейтТаун - сеть роллердромов ""Skate Town""",22,#cd3cc8,6143804,6143804
FITNESS ONE Путиловский ДИСКОНТ,22,#cd3cc8,13225244,13225244
Ленинский проспект 140,22,#cd3cc8,12901892,12901892
Такси ТаксовичкоФ,53,#41c4db,8344389,8344389
FIGHTPRO | федерация боевых видов спорта,23,#bb73e4,4668109,4668109
прости,23,#bb73e4,3932853,3932853
Бизнес-центр PROPAGANDA,23,#bb73e4,11161479,11161479
ул трефолева 4,23,#bb73e4,6814069,6814069
Желтый угол,23,#bb73e4,5563379,5563379
Швецова 23,23,#bb73e4,6451321,6451321
улица Балтийская 12,23,#bb73e4,13749663,13749663
Министерство счастья,23,#bb73e4,9343146,9343146
южно приморский парк победы,23,#bb73e4,8556672,8556672
Петровский колледж,23,#bb73e4,5477021,5477021
Narvskaya inn,23,#bb73e4,9398818,9398818
JOKER AUTO - Автосервис,23,#bb73e4,2736052,2736052
Leona Stage,23,#bb73e4,9791174,9791174
ЦСКО Сбербанка,23,#bb73e4,7261733,7261733
леона беби,23,#bb73e4,8162493,8162493
Наб обводного канала 205,23,#bb73e4,5865049,5865049
Набережная обводного канала 203,23,#bb73e4,7041138,7041138
Свет востока,23,#bb73e4,6539200,6539200
Набережная обводного канала 199-201,23,#bb73e4,7890644,7890644
"Адмиралтейский район, улица Курляндская",23,#bb73e4,13593008,13593008
"ксенон , биксеноновые линзы, тюнинг оптики СПб",23,#bb73e4,3183339,3183339
Рижский пр. д. 42,25,#e78ac3,5390128,5390128
Театр мимигранты,25,#e78ac3,16608113,16608113
Старо-Калинкин мост,25,#e78ac3,7949876,7949876
Медицинский ценр им.Пирогова,25,#e78ac3,6622902,6622902
Набережная реки фонтанки 157,32,#b035d8,14953540,14953540
УВЦ СПбГМТУ,25,#e78ac3,6739670,6739670
"Набережная реки Фонтанки, д. 129",32,#b035d8,15114574,15114574
Hotel Courtyard Marriott,25,#e78ac3,13277780,13277780
Нпбережная канала Грибоедова 170,25,#e78ac3,9346782,9346782
Творческая квартира РИМКОР,25,#e78ac3,16813707,16813707
Дворец бракосочетания 4,25,#e78ac3,8414365,8414365
Свадебный ресторан Весенний,47,#d7eb66,4211557,4211557
Канал грибоедова 16,25,#e78ac3,8849805,8849805
"Pskovskaya ,8",25,#e78ac3,11391551,11391551
Римского корсакова 83,25,#e78ac3,7099127,7099127
Коломенский мост,25,#e78ac3,11093173,11093173
Петергов,25,#e78ac3,5381127,5381127
"Courtyard by Marriott Pushkin, St. Petersburg",25,#e78ac3,18934990,18934990
Кронштадтский морской собор во имя святителя Николая Чудотворца,25,#e78ac3,15216858,15216858
Red Stars hotel,25,#e78ac3,5735011,5735011
Набережная пряжки,25,#e78ac3,8679389,8679389
"Сп- б, Петропаловская крепость",25,#e78ac3,16171991,16171991
Живи Вкусно,25,#e78ac3,10477206,10477206
"Союза Печатников, 29",25,#e78ac3,6325309,6325309
Золотой дракон,25,#e78ac3,5490,5490
Музей-усадьба Г.Р.Державина,32,#b035d8,10414656,10414656
Балтийский стрелковый центр,25,#e78ac3,9998093,9998093
Матисов Домик,25,#e78ac3,53100,53100
Новая Голландия остров,25,#e78ac3,18535214,18535214
Дом Сказки Английский проспект 21,25,#e78ac3,5433176,5433176
Английский проспект 40,25,#e78ac3,6395814,6395814
Школа 235,25,#e78ac3,10462378,10462378
Английский проспект 17-19,25,#e78ac3,7626167,7626167
Английский проспект Фабрика,25,#e78ac3,13864864,13864864
W club,25,#e78ac3,9286336,9286336
"Россия,Санкт-Петербург,Английский проспект,4-6",25,#e78ac3,8991751,8991751
Санкт-Петербургский Дом музыки,25,#e78ac3,10369968,10369968
Tiramisu Loft,25,#e78ac3,14849051,14849051
Адмиралтейский канал,25,#e78ac3,15528317,15528317
"Английская набережная, Санкт-Петербург",25,#e78ac3,8568944,8568944
Atrium hall,25,#e78ac3,15912524,15912524
Английская набережная,25,#e78ac3,6064058,6064058
Набережная Лейтенанта Шмидта дом 19,39,#75d098,18422756,18422756
